Cell,Type,Value
E18_2_C32,Adipocyte_SPP1.high.Adult.Adipose1.,0.000312538231811974
E18_2_C32,M2.Macrophage.Adult.Adipose1.,7.25941699122505e-05
E18_2_C32,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00324425595599493
E18_2_C32,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00360453326689037
E18_2_C32,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00365335566982213
E18_1_C53,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.194686122051454
E18_1_C53,Macrophage.Adult.Temporal.Lobe1..1,0.147879947599211
E18_1_C53,Endothelial.progenitor.cell.Adult.Ileum2.,0.145700252417733
E18_1_C53,Stellate.cell.Liver_Camp.,0.0606931547259333
E18_1_C53,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0397785529817934
E18_1_C53,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0374738041942117
E18_1_C53,Stromal.cell.Adult.Adipose1.,0.0276401750333342
E18_1_C53,Adipocyte_SPP1.high.Adult.Adipose1.,0.000225979436631715
E18_1_C53,M2.Macrophage.Adult.Adipose1.,-3.64149125856375e-05
E18_1_C53,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00323458549953786
E18_1_C53,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00359378889823441
E18_1_C53,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00364246577167402
E18_1_C46,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.100616548495048
E18_1_C46,Macrophage.Adult.Temporal.Lobe1..1,0.0754572337097135
E18_1_C46,Endothelial.progenitor.cell.Adult.Ileum2.,0.0749871102986817
E18_1_C46,Stellate.cell.Liver_Camp.,0.04094902670815
E18_1_C46,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0344682064615348
E18_1_C46,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0299264730664577
E18_1_C46,Endothelial.cell_GJA5.high.Fetal.Kidney3.,0.0198656525061184
E18_1_C46,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,0.0186708855621572
E18_1_C46,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,0.016138024972944
E18_1_C46,Stromal.cell.Adult.Adipose1.,0.0149224927776126
E18_1_C46,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000806148067191931
E18_1_C46,M2.Macrophage.Adult.Adipose1.,-0.00170647438847775
E18_3_C53,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.129736751364386
E18_3_C53,Macrophage.Adult.Temporal.Lobe1..1,0.0977674298617592
E18_3_C53,Endothelial.progenitor.cell.Adult.Ileum2.,0.0968351894701918
E18_3_C53,Stellate.cell.Liver_Camp.,0.0485537843518638
E18_3_C53,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0380573625118988
E18_3_C53,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0337603392259783
E18_3_C53,Stromal.cell.Adult.Adipose1.,0.0189338102702562
E18_3_C53,Endothelial.cell_GJA5.high.Fetal.Kidney3.,0.0145445819525203
E18_3_C53,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,0.0135978206789012
E18_3_C53,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,0.0117297078511864
E18_3_C53,Adipocyte_SPP1.high.Adult.Adipose1.,-0.00058360865990259
E18_3_C53,M2.Macrophage.Adult.Adipose1.,-0.00136253851046663
E18_1_C15,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,0.127607807103863
E18_1_C15,Macrophage.Adult.Temporal.Lobe1..1,0.0961601781874017
E18_1_C15,Endothelial.progenitor.cell.Adult.Ileum2.,0.0952825115519676
E18_1_C15,Stellate.cell.Liver_Camp.,0.0454804716041623
E18_1_C15,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0353593356552446
E18_1_C15,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0315167819914347
E18_1_C15,Stromal.cell.Adult.Adipose1.,0.0186099427383637
E18_1_C15,Endothelial.cell_GJA5.high.Fetal.Kidney3.,0.0171584149671278
E18_1_C15,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,0.0160862023080779
E18_1_C15,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,0.0138908610441977
E18_1_C15,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000614720910300256
E18_1_C15,M2.Macrophage.Adult.Adipose1.,-0.00143824482307681
E18_2_C74,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0492831080660381
E18_2_C74,Stellate.cell.Liver_Camp.,0.0436477170528786
E18_2_C74,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.038601453411398
