Cell,Type,Value
E18_2_C26,Alveolar bipotent progenitor(Lung),0.330784796893541
E18_2_C26,AT2 Cell(Lung),0.312983819089254
E18_2_C26,Epithelial cell_Sftpc high(Fetal_Lung),0.28520845019588
E18_2_C26,Dividing cells(Lung),0.253695473208949
E18_2_C26,Epithelial Cells(Lung-Mesenchyme),0.253142047370635
E18_2_C26,Stromal cell_Inmt high(Lung),0.252892005459291
E18_2_C26,Ciliated cell(Lung),0.250499419514887
E18_2_C26,Clara Cell(Lung),0.248072842311169
E18_2_C26,Stromal cell_Inmt high(Lung-Mesenchyme),0.214523842871868
E18_2_C26,Stromal cell_Aspn high(Lung-Mesenchyme),0.204510413291639
E18_2_C26,Ependymocytes(Arc-Me),0.171942039246455
E18_2_C38,AT1 Cell(Lung),0.438430963589275
E18_2_C38,Alveolar bipotent progenitor(Lung),0.302070338066912
E18_2_C38,AT2 Cell(Lung),0.30109582975074
E18_2_C38,Epithelial cell_Sftpc high(Fetal_Lung),0.282953449014671
E18_2_C38,Epithelial Cells(Lung-Mesenchyme),0.258686746740671
E18_2_C38,Ciliated cell(Lung),0.241259842070028
E18_2_C38,Clara Cell(Lung),0.240488024379715
E18_2_C38,Stromal cell_Inmt high(Lung),0.237839389849022
E18_2_C38,Dividing cells(Lung),0.236624183269897
E18_2_C38,Stromal cell_Inmt high(Lung-Mesenchyme),0.218738958526212
E18_2_C38,Stromal cell_Aspn high(Lung-Mesenchyme),0.207131335204978
E18_2_C38,Ependymocytes(Arc-Me),0.148323705164693
E18_1_C60,AT1 Cell(Lung),0.352273279466633
E18_1_C60,Alveolar bipotent progenitor(Lung),0.249079851963594
E18_1_C60,AT2 Cell(Lung),0.228365772217057
E18_1_C60,Ciliated cell(Lung),0.226742305298643
E18_1_C60,Clara Cell(Lung),0.214105821426292
E18_1_C60,Epithelial Cells(Lung-Mesenchyme),0.196984762807368
E18_1_C60,Epithelial cell_Sftpc high(Fetal_Lung),0.188013280598351
E18_1_C60,Stromal cell_Inmt high(Lung),0.167533669187284
E18_1_C60,Dividing cells(Lung),0.166640783056668
E18_1_C60,Stromal cell_Inmt high(Lung-Mesenchyme),0.130205726943569
E18_1_C60,Stromal cell_Aspn high(Lung-Mesenchyme),0.124011211281878
E18_1_C60,Ependymocytes(Arc-Me),0.105120427119753
E18_2_C65,AT1 Cell(Lung),0.393749208077377
E18_2_C65,Alveolar bipotent progenitor(Lung),0.269016923155637
E18_2_C65,AT2 Cell(Lung),0.257629323319748
E18_2_C65,Epithelial Cells(Lung-Mesenchyme),0.239330549185765
E18_2_C65,Stromal cell_Inmt high(Lung),0.221503352243373
E18_2_C65,Stromal cell_Inmt high(Lung-Mesenchyme),0.220266598386189
E18_2_C65,Stromal cell_Aspn high(Lung-Mesenchyme),0.210662459617503
E18_2_C65,Epithelial cell_Sftpc high(Fetal_Lung),0.2102359146977
E18_2_C65,Ciliated cell(Lung),0.203669433580125
E18_2_C65,Dividing cells(Lung),0.197453707168646
E18_2_C65,Clara Cell(Lung),0.197320731255421
E18_2_C65,Ependymocytes(Arc-Me),0.148772126654949
E18_2_C92,AT1 Cell(Lung),0.387454808740619
E18_2_C92,Epithelial Cells(Lung-Mesenchyme),0.267408394900857
E18_2_C92,Alveolar bipotent progenitor(Lung),0.257166707474037
E18_2_C92,AT2 Cell(Lung),0.252530309118261
E18_2_C92,Clara Cell(Lung),0.223184359065251
E18_2_C92,Ciliated cell(Lung),0.211986235272779
E18_2_C92,Epithelial cell_Sftpc high(Fetal_Lung),0.205781289713982
E18_2_C92,Stromal cell_Inmt high(Lung),0.197182408090347
E18_2_C92,Dividing cells(Lung),0.186987226747981
E18_2_C92,Stromal cell_Aspn high(Lung-Mesenchyme),0.170047071386128
E18_2_C92,Stromal cell_Inmt high(Lung-Mesenchyme),0.169523945453986
E18_2_C92,Ependymocytes(Arc-Me),0.116284602723138
E18_2_C06,AT1 Cell(Lung),0.445317616431659
E18_2_C06,Alveolar bipotent progenitor(Lung),0.316403003770967
E18_2_C06,AT2 Cell(Lung),0.296648060981918
E18_2_C06,Ciliated cell(Lung),0.248160067386454
E18_2_C06,Epithelial Cells(Lung-Mesenchyme),0.243354435398122
E18_2_C06,Stromal cell_Inmt high(Lung),0.233505515276828
E18_2_C06,Dividing cells(Lung),0.222745175534009
E18_2_C06,Clara Cell(Lung),0.218160264969832
E18_2_C06,Stromal cell_Inmt high(Lung-Mesenchyme),0.205700488154197
E18_2_C06,Stromal cell_Aspn high(Lung-Mesenchyme),0.194004532177269
E18_2_C06,Epithelial cell_Sftpc high(Fetal_Lung),0.153313653900793
E18_2_C06,Ependymocytes(Arc-Me),0.123883584889429
E18_2_C73,AT1 Cell(Lung),0.416781282658582
E18_2_C73,Alveolar bipotent progenitor(Lung),0.292534565901341
E18_2_C73,AT2 Cell(Lung),0.284125054322784
E18_2_C73,Ciliated cell(Lung),0.232426793767534
E18_2_C73,Dividing cells(Lung),0.230462229756314
E18_2_C73,Clara Cell(Lung),0.228580057032953
E18_2_C73,Epithelial cell_Sftpc high(Fetal_Lung),0.223640641788949
E18_2_C73,Epithelial Cells(Lung-Mesenchyme),0.221463939983474
E18_2_C73,Stromal cell_Inmt high(Lung),0.19989847487167
E18_2_C73,Stromal cell_Inmt high(Lung-Mesenchyme),0.164732449726485
E18_2_C73,Stromal cell_Aspn high(Lung-Mesenchyme),0.164711640714867
E18_2_C73,Ependymocytes(Arc-Me),0.122945737364845
E18_2_C61,AT1 Cell(Lung),0.419641537867458
