p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
9.29137590639912e-288 1.12425458845366 0.972 0.304 1.6831327454442e-283 2 Nell2
4.01647731200469e-287 1.12418723257258 0.966 0.348 7.2758486506965e-283 2 Ppm1e
5.81928296234147e-286 1.0640683683053 0.966 0.359 1.05416310862816e-281 2 Gabrb3
2.45418370918981e-284 1.17287133043564 0.998 0.517 4.44575378919733e-280 2 Grin2b
3.14882348575878e-281 0.839300872254992 0.831 0.18 5.70409374445204e-277 2 Lrrtm1
4.05163265631829e-280 0.664604165518545 0.647 0.044 7.33953255692059e-276 2 Klk8
2.38247382660168e-279 1.13613922061788 0.985 0.415 4.31585133688894e-275 2 Zbtb18
8.98526309954548e-279 0.989243950851014 0.929 0.231 1.62768041048266e-274 2 Neurod2
1.84594902194087e-275 0.804072479218758 0.834 0.144 3.34393665324589e-271 2 Ryr3
1.03448263537805e-274 0.953725440162594 0.879 0.212 1.87396529398733e-270 2 Cpne8
8.25798099772439e-273 0.934255112749504 0.974 0.381 1.49593325773777e-268 2 Rasgef1a
9.2989167734756e-272 1.07533393096099 0.997 0.537 1.6844987735151e-267 2 Dlgap1
1.02822027345355e-271 1.07818670161821 0.998 0.608 1.8626210253611e-267 2 Ppp3r1
1.60762880688367e-271 1.00889185752934 0.989 0.462 2.91221958366977e-267 2 Plk2
5.16759500006866e-271 0.934065505247688 0.848 0.177 9.36109834262437e-267 2 Pou3f1
1.67946905404029e-268 0.938203311300688 0.928 0.293 3.04235819139399e-264 2 Mpped1
9.35428364397529e-265 0.812153071389581 0.676 0.071 1.69452848210612e-260 2 Shisa6
5.43594010051553e-263 0.804294877039631 0.837 0.175 9.84720549208388e-259 2 Sema3e
2.7908013320995e-262 1.28743372586156 0.798 0.145 5.05553661309824e-258 2 Nnat
3.20631909865665e-262 0.578040433198221 0.577 0.029 5.80824704721651e-258 2 Pkp2
4.54710674305626e-261 0.88991959442097 0.822 0.183 8.23708386504641e-257 2 Kcnab1
5.66250514830478e-260 0.752085137421381 0.751 0.129 1.02576280761541e-255 2 Chrd
1.01063869522129e-258 1.04696574454201 0.954 0.346 1.83077199639336e-254 2 Caly
1.84630955222654e-254 0.922818312956541 0.929 0.293 3.34458975385838e-250 2 Slc24a3
8.12911491063064e-254 1.10874155197866 1 0.596 1.47258916606074e-249 2 Chn1
6.49942152960075e-253 0.702521175930811 0.721 0.11 1.17737021008718e-248 2 Trpc4
2.14145678063851e-251 0.765866659941423 0.832 0.204 3.87924895812667e-247 2 Chrm1
6.87773877653478e-251 0.887636613993585 0.954 0.354 1.24590237936927e-246 2 Crmp1
1.88911793570163e-250 1.13735770776472 0.98 0.476 3.42213714052349e-246 2 Epha4
2.03757241959468e-250 0.752880329742496 0.676 0.085 3.69106243809576e-246 2 Ndst3
2.39096809738438e-249 0.828752586243253 1 0.912 4.33123870841181e-245 2 Prnp
5.02075118666051e-249 1.07624143803462 0.866 0.262 9.09509077463552e-245 2 Epha7
7.71325335676675e-249 0.88163749141171 0.839 0.21 1.3972558455783e-244 2 Cnih2
3.78637612395777e-247 1.09769368996839 0.985 0.404 6.85902034854949e-243 2 Gap43
6.16040884701692e-247 0.906882282376287 0.641 0.073 1.11595806263711e-242 2 Prkcg
7.76312036517609e-243 0.907578093145207 0.993 0.47 1.40628925415165e-238 2 Celf5
1.98834754698046e-241 0.77425444245344 0.848 0.227 3.6018915813551e-237 2 Galnt16
7.04503469659219e-240 0.955508832727831 0.973 0.398 1.27620803528768e-235 2 Chl1
4.25991567589697e-239 0.551491775594177 0.501 0.015 7.71683724688737e-235 2 Htr5b
3.16201456137606e-238 0.900891116283447 0.957 0.363 5.72798937793273e-234 2 Hpcal4
1.11643433499533e-237 0.775777049870641 0.771 0.157 2.02242079784404e-233 2 Sowaha
1.21397433268737e-235 0.873351567576141 0.933 0.312 2.19911450366318e-231 2 Sprn
7.37444569626862e-235 0.865770749587771 0.875 0.273 1.33588083787906e-230 2 Kcnab2
4.84156279020151e-234 0.644936551554037 0.62 0.069 8.77049099445003e-230 2 Epha6
8.93254772595517e-234 0.924773910928868 0.972 0.388 1.61813102055678e-229 2 Enc1
1.47776367664412e-231 0.732127474547502 0.836 0.238 2.67696890024083e-227 2 Unc5a
3.03740830610116e-273 0.958436350842587 0.692 0.05 5.50226514650225e-269 3 Gm11549
2.37733802259271e-242 0.924520534006662 0.794 0.101 4.30654782792669e-238 3 Car10
4.58501391592294e-200 1.55334928459349 1 0.589 8.30575270869441e-196 3 Pcsk2
6.97297079010461e-186 1.79277225728865 0.99 0.515 1.26315365862745e-181 3 Mef2c
2.36064300864546e-180 0.761381189186371 0.677 0.105 4.27630481016125e-176 3 Necab3
5.53830506647641e-179 0.831330025439242 0.742 0.134 1.0032639627922e-174 3 Tbr1
1.82979254867569e-169 0.89057239144273 0.805 0.17 3.31466920192601e-165 3 Dpp10
1.93451889881059e-166 0.374748150821572 0.376 0.015 3.50438098519538e-162 3 Rasgef1c
1.23299378719073e-164 0.787432943038835 0.762 0.169 2.233568245496e-160 3 Rap1gap2
3.93041013831859e-162 0.917373766909434 0.772 0.178 7.11993796556413e-158 3 Gabrd
3.51848410584256e-156 1.129065571529 1 0.749 6.37373395773379e-152 3 Snap25
1.40008515201952e-154 0.932907007820307 0.669 0.12 2.53625425288336e-150 3 Brinp3
7.43166035148716e-153 1.27165389464628 0.995 0.606 1.3462452726719e-148 3 Arpp21
1.02570722564e-150 0.924760024735638 0.907 0.358 1.85806863924686e-146 3 Stx1a
2.70640977832098e-148 0.713842052079018 0.617 0.099 4.90266131342845e-144 3 Efna5
5.81588457081928e-147 0.65698240925519 0.396 0.027 1.05354749000391e-142 3 Gpr88
3.40196413468145e-141 0.516928469803355 0.479 0.053 6.16265802997545e-137 3 Ipcef1
1.41835055500024e-140 1.12255904999356 0.995 0.614 2.56934203038293e-136 3 Atp2b2
1.70655919362632e-139 0.926207895242785 0.416 0.038 3.09143197925408e-135 3 Myl4
5.94719283403039e-139 0.438981862537391 0.506 0.063 1.07733398188461e-134 3 Fhod3
1.15021029429503e-138 0.661094836316596 0.596 0.105 2.08360594811544e-134 3 Kcnf1
1.31258721299313e-137 1.0275086658039 0.815 0.264 2.37775173633706e-133 3 Kcnv1
4.93701698804041e-133 0.663060181826449 0.439 0.046 8.94340627383521e-129 3 Atp6ap1l
7.74212139331127e-131 1.16022874757096 0.96 0.411 1.40248529039834e-126 3 Nrn1
4.96447653373374e-127 0.944624970074839 0.882 0.347 8.99314924085867e-123 3 Ngef
1.17011776693562e-125 0.500802282373746 0.466 0.063 2.11966833480387e-121 3 Cckbr
7.13310043539259e-125 0.454920833182602 0.484 0.065 1.29216114387137e-120 3 Cobl
9.39341400132981e-124 1.00312532656841 0.94 0.37 1.7016169463409e-119 3 Ncald
6.1729760261521e-123 0.668222611608005 1 0.997 1.11823460713745e-118 3 Calm1
4.77051262628489e-122 0.533535729873951 0.396 0.041 8.64178362251508e-118 3 Krt12
5.18518357206812e-122 1.06257961039541 0.892 0.43 9.39296004080141e-118 3 1110008P14Rik
1.61050398978877e-121 0.716865076517104 0.632 0.146 2.91742797750237e-117 3 Dusp14
3.69974535892594e-121 0.965976943842628 0.822 0.283 6.70208871769434e-117 3 Kcnj4
4.65660352161244e-121 0.561081241967735 0.429 0.054 8.43543727940094e-117 3 Hs3st2
6.94751705483679e-121 0.620524062946072 0.564 0.106 1.25854271448368e-116 3 Gfra2
9.91723540708079e-121 1.05459310327079 0.992 0.543 1.79650719399269e-116 3 Tagln3
4.65433739215549e-117 0.794938143278834 0.947 0.435 8.43133218588968e-113 3 Fgf12
2.37807520201085e-116 0.796288231697123 0.99 0.641 4.30788322844266e-112 3 Arhgap32
5.26899233185061e-116 0.907390081587368 0.995 0.583 9.54477960914737e-112 3 Tuba4a
5.28412029636863e-115 0.968030318937102 0.98 0.694 9.57218391687177e-111 3 Osbpl1a
3.95649014282582e-114 0.344265691135433 0.298 0.019 7.16718189372897e-110 3 Tmem215
3.99255872024592e-114 0.443038117875508 0.376 0.039 7.23252012172548e-110 3 Ramp3
5.56628033856307e-113 0.392489660568859 0.496 0.078 1.0083316833307e-108 3 Tshz3
7.16548723573656e-113 0.464059339595345 0.371 0.038 1.29802801275368e-108 3 Gsg1l
1.87982573080485e-111 2.01746391450728 0.727 0.262 3.40530431135299e-107 3 Pcp4
2.55862792753388e-111 0.836797418283034 0.977 0.492 4.63495449072763e-107 3 Fabp3
4.28361529855851e-111 0.40939566038407 0.281 0.016 7.75976911333875e-107 3 A830009L08Rik
1.70851317132772e-110 0.415318532377336 0.331 0.028 3.09497160986017e-106 3 Coch
5.94468343726414e-110 0.252817448972262 0.348 0.031 1.0768794046604e-105 3 Cpne9
3.23165283993517e-108 0.869717755610332 0.97 0.68 5.85413911954256e-104 3 Arpp19
2.59891859115993e-107 0.447440813185021 0.534 0.107 4.70794102788621e-103 3 Olfm2
7.39194938961251e-107 0.913228721996001 0.905 0.435 1.33905163192831e-102 3 Camkk2
2.63947718716687e-106 1.46248846307391 0.962 0.804 4.78141292455278e-102 3 Camk2n1
3.6983659204076e-106 0.329009055625495 0.286 0.019 6.69958986481837e-102 3 Dtl
5.4882118428717e-106 0.82670930287034 0.99 0.554 9.94189575336208e-102 3 Vsnl1
1.13544826450878e-105 0.774468238889303 0.812 0.289 2.05686453115766e-101 3 Ano3
6.6288675932499e-105 1.12905933581307 0.987 0.68 1.20081936451722e-100 3 Nrgn
1.50078558475408e-103 0.766469869372385 1 0.712 2.71867308678201e-99 3 Ywhah
1.94269539874978e-103 0.969893964461246 0.977 0.652 3.51919271483522e-99 3 Atp1a1
1.49511414803727e-101 0.918266367256902 0.9 0.451 2.70839927916952e-97 3 Camk4
1.80131889702942e-99 0.264821077167264 0.278 0.02 3.26308918196879e-95 3 Exph5
3.30215074675365e-99 1.13512399024312 0.955 0.573 5.98184607774423e-95 3 Rgs4
3.89115134646377e-99 0.81727476909562 1 0.881 7.04882066411911e-95 3 Mdh1
1.14678262299413e-98 0.451469229779309 0.431 0.069 2.07739672155387e-94 3 Ptchd1
2.05922350828088e-98 0.584350549137469 0.419 0.068 3.73028338525082e-94 3 Frzb
2.27175638642189e-98 0.661056494870688 0.89 0.403 4.11528669400326e-94 3 Cdk5r2
4.97624640555143e-98 0.374950461426623 0.434 0.065 9.01447036365641e-94 3 Pamr1
5.71405610092109e-98 0.834098081047103 0.772 0.302 1.03510126268186e-93 3 Ttc9b
8.26360266658772e-98 0.637413766541075 0.654 0.19 1.49695162305237e-93 3 Fxyd7
2.81105611783902e-97 0.879413872266376 0.291 0.025 5.09222815746539e-93 3 Tnnc1
1.67235503217759e-96 0.776409738289232 0.995 0.79 3.02947114078971e-92 3 Nme1
1.09194714568184e-95 0.791830164219465 1 0.78 1.97806225440265e-91 3 Scg5
1.25346571871491e-95 1.18570978560455 0.699 0.243 2.27065314945206e-91 3 Lamp5
2.7380082310513e-95 0.469520975691104 0.459 0.088 4.95990191054942e-91 3 Dclk3
9.27442057627243e-95 0.763589311299893 0.827 0.363 1.68006128739175e-90 3 Rab15
1.49308613073834e-94 0.739370903574493 0.982 0.602 2.7047255258325e-90 3 Pld3
2.77005639429475e-94 0.608524562981441 0.634 0.182 5.01795715826495e-90 3 Igfbp6
1.07601622044721e-93 0.576682174789548 0.667 0.22 1.94920338334011e-89 3 Kcnh1
2.02011376167581e-92 0.612696915001572 0.85 0.332 3.65943607927573e-88 3 Cacng2
9.58877993846711e-92 0.722831027898951 0.975 0.452 1.73700748585332e-87 3 Sv2b
2.9536173682913e-91 0.382242154041597 0.276 0.024 5.3504778626597e-87 3 Dkkl1
4.67229249953437e-91 0.752822387086084 0.955 0.548 8.46385786290651e-87 3 Kcnb1
8.27764806086449e-91 0.49497533648615 0.556 0.134 1.4994959462256e-86 3 Lrrtm3
2.22890984746775e-90 0.790234220164274 1 0.633 4.03767018868783e-86 3 Stmn2
1.64445866314774e-89 0.6104796639175 0.802 0.261 2.97893686829213e-85 3 Rph3a
2.3096818966227e-89 0.696704941808586 0.895 0.463 4.18398875573202e-85 3 Pcdh7
5.35092902650484e-89 0.65400215768791 1 0.77 9.69320793151351e-85 3 Atp6v1d
1.20885715977582e-88 0.70783247400814 0.997 0.659 2.18984474493389e-84 3 Fbxw7
1.71996708297764e-88 0.367714496737233 0.449 0.089 3.11572037081399e-84 3 Tiam2
9.79174870900743e-88 0.832604231549373 0.955 0.523 1.7737752786367e-83 3 Brinp1
1.124364680248e-86 0.311617079701399 0.316 0.038 2.03678661826925e-82 3 Sema3a
2.32003068567156e-86 0.717328805203567 0.942 0.525 4.20273558709403e-82 3 Sult4a1
3.62557688913917e-86 0.593327051272722 0.724 0.241 6.5677325346756e-82 3 Satb1
3.65247639900805e-86 0.787322234990685 0.997 0.822 6.61646099680309e-82 3 Atpif1
1.08663577611646e-85 0.609802054020627 0.89 0.413 1.96844070843496e-81 3 Syt13
4.23775104855304e-85 0.682998438841629 0.985 0.668 7.67668602445384e-81 3 Ndrg3
7.14939264732558e-85 0.777214416574758 0.967 0.58 1.29511247806303e-80 3 Stxbp1
3.57462206118028e-84 0.626198252789447 0.995 0.668 6.47542786382808e-80 3 Ensa
1.57716833629147e-83 0.567016368344367 0.456 0.094 2.857040441192e-79 3 Unc5d
4.06529368236132e-83 0.750214202249246 1 0.68 7.36427950559753e-79 3 Chn1
0 3.8247899440363 0.98 0.037 0 4 C1qa
0 3.54969145728186 0.98 0.033 0 4 C1qb
0 3.33123787637224 0.98 0.033 0 4 Tyrobp
0 3.22137970680583 0.939 0.03 0 4 Fcrls
0 2.85314941681588 0.878 0.024 0 4 Fcer1g
6.18298315776403e-305 3.04792478177648 0.878 0.026 1.12004739902895e-300 4 C1qc
2.09245949688312e-300 3.40334632132109 0.918 0.032 3.79049037860377e-296 4 Fcgr3
1.37525823587645e-282 3.60974268748297 0.786 0.021 2.4912802942902e-278 4 Pf4
5.52373690876598e-279 2.94263060755956 0.745 0.018 1.00062494102296e-274 4 Ms4a7
1.21017669905909e-274 2.61015571361315 0.929 0.039 2.19223509034555e-270 4 Laptm5
5.82308109457389e-270 3.38804385249568 0.765 0.022 1.05485114028206e-265 4 F13a1
2.77531004971963e-267 3.52037505260535 0.786 0.024 5.02747415506711e-263 4 Mrc1
3.8331562462319e-267 3.66773054147769 0.786 0.024 6.94376254004909e-263 4 Ccl7
1.98085124640658e-266 3.14367688678005 0.99 0.051 3.58831203286552e-262 4 Csf1r
4.33500877387584e-263 3.15400716466957 0.704 0.017 7.85286839387609e-259 4 Ccl24
1.29070958296493e-258 3.19212503918652 0.755 0.023 2.33812040954097e-254 4 Cbr2
3.00697486886539e-255 3.82998135681596 0.776 0.025 5.44713497494965e-251 4 Lyz2
1.13985538987803e-253 3.59898029254346 0.806 0.029 2.06484803876406e-249 4 Ccl2
5.64649098573289e-253 2.80181571712376 0.776 0.026 1.02286184206551e-248 4 Cd53
9.81181482165872e-252 3.36769685227453 0.99 0.055 1.77741025494348e-247 4 Ctss
2.79535715385715e-242 2.70234754763466 0.796 0.031 5.06378948421222e-238 4 Hpgds
2.06231573962093e-239 2.66102941796236 0.694 0.02 3.73588496232331e-235 4 Fcgr2b
4.00568028116462e-236 2.29638458326772 0.673 0.019 7.25628982932972e-232 4 C3ar1
5.31669031390754e-236 2.05263992398126 0.582 0.011 9.63118450364351e-232 4 Lyz1
8.14174026461208e-235 2.00267505355029 0.622 0.014 1.47487624893448e-230 4 Clec4n
1.76887658981904e-232 3.26592765119154 0.714 0.023 3.20431994245718e-228 4 Ccl12
5.52147478854569e-227 1.91039651096992 0.633 0.017 1.00021515794505e-222 4 Ms4a6b
2.95288619020318e-224 2.70060807417321 0.929 0.056 5.34915333355306e-220 4 Rnase4
1.42078376826648e-223 2.39266480107004 0.704 0.024 2.57374979621472e-219 4 Ltc4s
1.65704495226489e-221 1.99260644431031 0.714 0.026 3.00173693102785e-217 4 Ly86
6.35445828670561e-220 2.83266741247436 0.592 0.014 1.15111011863672e-215 4 Folr2
2.55223708962451e-217 2.21482644538316 0.633 0.019 4.62337748785481e-213 4 Pld4
2.45609185735539e-215 2.16374091794156 0.531 0.01 4.4492103995993e-211 4 C5ar1
3.83519721309889e-212 2.77507312091092 0.724 0.029 6.94745975152864e-208 4 Cd14
1.43253069636881e-209 2.0749709121383 0.684 0.025 2.59502935647209e-205 4 Gpr34
2.75976966425055e-204 1.89885995455525 0.551 0.013 4.99932274678988e-200 4 Cd86
3.01254590605596e-199 2.60091501503635 0.776 0.041 5.45722690882037e-195 4 Fcgr1
1.40359267729209e-197 2.22843310629525 0.592 0.018 2.54260813491463e-193 4 Cybb
1.68114196525953e-197 2.63850907664748 0.673 0.027 3.04538867006763e-193 4 Gpr183
7.19649334622223e-195 2.94060026815461 0.531 0.013 1.30364476966816e-190 4 Cd209f
3.95755861001571e-192 1.69991021052783 0.541 0.014 7.16911742204345e-188 4 Clec4a3
4.23437060866327e-192 1.6607731895993 0.52 0.013 7.67056235759351e-188 4 Ms4a6c
